District,Region,Population,Health_Facilities,Doctors,Nurses,Hospital_Beds,Disease_Cases,Medicine_Stock,Emergency_Visits,Budget_Million_UGX,Resource_Need_Level
Wakiso,Central,418954,46,131,502,631,12768,97,1467,7034,Medium
Lira,Central,60886,27,108,442,804,30812,48,8381,3981,High
Masaka,Eastern,396516,24,9,205,190,39906,42,8691,2572,High
Wakiso,Central,834299,47,52,576,407,11457,84,1642,5920,Low
Mbarara,Eastern,883159,61,34,498,129,47364,92,2580,6195,High
Jinja,Western,802548,33,42,291,146,39200,68,4042,1760,High
Lira,Central,259941,13,39,246,68,8504,77,1434,1346,Low
Arua,Eastern,112588,54,172,539,269,19556,76,1104,3914,Medium
Masaka,Central,527228,49,101,65,163,47554,97,5042,4667,High
Mbale,Northern,728865,68,49,521,834,25891,100,4803,2248,Medium
Mbale,Northern,268119,41,112,259,335,48008,99,4586,4360,High
Mbale,Western,542452,36,87,400,967,19711,50,7294,410,Medium
Lira,Northern,765928,38,143,431,264,4772,99,6552,3577,Low
Jinja,Western,244070,73,124,132,639,28789,57,3853,1470,Medium
Masaka,Eastern,592709,61,199,154,324,29904,46,5122,4476,Medium
Masaka,Central,729890,47,39,386,451,22385,93,9221,3323,Medium
Kabale,Eastern,252099,23,85,392,477,21830,85,335,3958,Medium
Lira,Eastern,258822,7,22,587,148,37650,85,8861,533,High
Lira,Eastern,381942,29,109,450,371,35216,67,6070,6502,High
Mbarara,Eastern,707637,71,11,391,545,23913,87,8903,4246,High
Kabale,Northern,490764,63,150,592,555,7258,86,9364,5741,Low
Mbarara,Northern,317029,41,76,562,813,2616,41,4081,4489,Low
Kabale,Northern,375281,44,146,207,778,33694,51,6835,774,High
Gulu,Northern,715231,49,108,110,801,19828,86,6125,5841,Medium
Kabale,Northern,202883,59,160,255,682,20199,55,4020,1336,Medium
Kampala,Northern,575936,66,59,256,769,14303,79,6300,1051,Medium
Masaka,Northern,799657,46,116,129,968,15576,73,5744,4228,Medium
Mbarara,Northern,239290,67,118,167,314,16050,41,405,3730,Medium
Kabale,Northern,477712,56,71,429,509,32132,53,2436,329,High
Wakiso,Western,434327,42,114,398,428,35959,54,2403,778,High
Mbale,Western,487089,34,54,73,251,9029,65,9039,4546,Low
Jinja,Northern,796742,8,61,569,642,30010,66,994,1342,High
Gulu,Northern,739691,26,199,577,467,30216,43,3459,5084,High
Gulu,Western,780125,63,99,50,596,3310,63,4461,3574,Low
Gulu,Central,849400,58,115,176,51,10599,62,3855,2215,Low
Gulu,Eastern,865420,21,12,210,967,47405,84,9085,7008,High
Mbale,Eastern,827769,60,90,116,193,17700,80,3640,2534,Medium
Arua,Central,715793,22,113,203,873,20903,57,4110,4297,Medium
Kampala,Central,272001,58,71,278,196,4148,90,7797,7345,Low
Jinja,Eastern,875831,21,130,322,728,7381,45,9263,3444,Low
Arua,Eastern,309223,58,24,380,644,38867,81,3716,4010,High
Kabale,Central,369987,17,143,64,141,25388,66,2520,6075,Medium
Masaka,Eastern,672002,42,87,439,138,8185,95,9594,7816,Low
Kabale,Eastern,325171,75,83,464,819,11008,78,7973,1098,Low
Mbale,Western,440080,7,149,456,652,35946,66,3924,4330,High
Kampala,Eastern,807740,29,179,207,599,21944,48,5299,4467,Medium
Masaka,Northern,482773,12,112,172,272,39460,88,6314,5133,High
Gulu,Northern,802514,10,93,570,825,23534,81,6591,5034,Medium
Mbale,Western,349132,79,182,388,311,32658,56,7805,2662,High
Kampala,Northern,513854,6,98,140,114,39524,73,5627,6205,High
Masaka,Central,737398,5,33,66,364,18651,95,8371,916,Medium
Mbarara,Eastern,548024,13,84,499,113,911,43,9959,5744,Low
Lira,Western,418454,36,156,139,300,9226,89,3601,3407,Low
Lira,Western,504557,48,119,296,191,24833,57,9817,7366,Medium
Arua,Western,233670,14,150,463,329,21471,40,8926,1165,Medium
Kabale,Eastern,352363,7,76,470,553,24605,83,4885,6913,Medium
Arua,Western,792218,18,91,207,124,17755,85,3244,4876,Medium
Mbale,Western,275986,52,143,23,843,1116,79,9138,7468,Low
Kampala,Northern,634381,58,11,216,500,21863,79,346,4623,High
Lira,Northern,565449,63,46,62,974,31339,63,1453,4652,High
Mbarara,Eastern,843748,15,48,251,345,30060,99,9018,1763,High
Jinja,Western,54103,54,184,118,811,34490,53,9924,7836,High
Arua,Western,609120,53,42,598,445,22679,91,5318,6183,Medium
Jinja,Eastern,757920,29,103,92,753,28173,62,6175,2105,Medium
Masaka,Central,125173,75,15,194,357,18989,57,4975,723,High
Jinja,Eastern,861075,68,139,582,597,26746,40,9072,4142,Medium
Masaka,Western,150315,28,183,238,155,6351,44,4760,470,Low
Kampala,Eastern,140897,78,34,267,793,33438,68,4859,5309,High
Kampala,Eastern,883004,44,178,143,924,36467,89,4437,1337,High
Mbale,Western,284929,51,13,478,141,49922,56,6425,616,High
Mbale,Western,503875,45,179,275,514,21385,88,1484,2048,Medium
Mbarara,Western,55186,72,73,168,935,10923,46,4178,2395,Low
Jinja,Eastern,468964,76,23,189,77,47900,53,9757,674,High
Masaka,Central,349131,41,11,443,620,40467,61,8061,3756,High
Mbarara,Western,145319,37,122,585,561,5111,77,7953,5655,Low
Jinja,Eastern,566145,35,83,387,526,43169,92,3888,4739,High
Arua,Western,237261,58,114,196,462,8812,56,7973,4800,Low
Kabale,Central,157016,29,200,274,78,3005,50,7826,509,Low
Masaka,Eastern,72459,80,23,65,160,4019,91,8408,4829,Low
Jinja,Eastern,782133,38,91,155,558,42847,84,9881,3417,High
Jinja,Central,398119,40,62,451,809,829,65,4021,7468,Low
Arua,Eastern,224916,8,25,229,418,35339,85,3851,909,High
Mbale,Western,463945,66,92,45,63,11313,73,6246,2362,Low
Gulu,Central,283979,78,171,569,914,33962,82,1035,1668,High
Arua,Northern,660059,58,163,242,382,4932,50,5578,5664,Low
Arua,Western,542886,23,7,144,258,47715,97,1950,7966,High
Arua,Eastern,582192,30,87,417,379,29167,97,8460,7640,Medium
Masaka,Eastern,581045,69,115,146,960,18681,91,4753,4382,Medium
Jinja,Northern,276871,37,54,90,129,43055,98,4915,4401,High
Jinja,Northern,832322,61,131,552,544,8868,63,4064,3016,Low
Gulu,Western,741217,44,66,187,263,28485,95,9655,6606,Medium
Wakiso,Northern,866824,71,54,242,519,7790,91,1126,2069,Low
Lira,Central,583309,36,108,579,477,18605,76,3128,4522,Medium
Jinja,Northern,139359,9,194,449,811,20243,67,8568,6503,Medium
Gulu,Eastern,775183,45,63,60,226,30139,99,9469,6237,High
Wakiso,Central,836382,47,91,267,405,28865,57,5959,2645,Medium
Mbale,Northern,885034,73,159,138,804,20115,79,4716,3923,Medium
Masaka,Eastern,512882,80,150,312,160,20568,87,8573,6900,Medium
Wakiso,Western,769597,72,134,428,424,46715,89,3870,7927,High
Kampala,Western,452423,40,16,359,458,2038,65,2624,632,High
Masaka,Eastern,69523,40,29,340,797,43768,64,9864,1523,High
Mbarara,Northern,757257,79,144,547,499,23733,53,1953,5316,Medium
Wakiso,Western,177404,58,44,124,213,30864,81,3618,5392,High
Lira,Northern,850696,58,157,422,687,25698,77,3560,4004,Medium
Mbarara,Western,773982,27,84,256,127,40232,64,7519,2268,High
Mbale,Eastern,684712,56,173,465,758,22737,69,6621,2022,Medium
Mbarara,Northern,534523,65,61,542,128,31723,47,2938,4713,High
Kabale,Western,322136,16,162,434,356,25575,79,1391,3873,Medium
Mbarara,Western,896078,22,156,437,956,29328,63,7049,4616,Medium
Masaka,Western,751743,51,189,492,516,40548,67,6727,4810,High
Lira,Central,63089,65,106,321,600,11460,45,8692,5677,Low
Masaka,Eastern,550186,58,59,251,28,47665,76,8931,3333,High
Jinja,Eastern,537965,48,67,268,87,22840,95,759,2486,Medium
Mbale,Eastern,531992,6,38,569,771,41529,74,4722,2825,High
Mbale,Western,410552,19,88,109,130,45542,75,2976,3421,High
Arua,Central,581345,16,30,330,547,14310,68,9939,2048,Medium
Gulu,Central,454216,16,123,553,340,15380,63,5059,3069,Medium
Arua,Northern,368901,42,102,594,66,44950,79,2665,4466,High
Kabale,Eastern,395532,24,169,51,26,25241,80,2463,4658,Medium
Kampala,Central,418070,48,91,22,915,10227,45,2136,4292,Low
Lira,Central,717416,61,115,248,71,16571,76,8759,3527,Medium
Kampala,Western,294972,40,40,316,320,30058,78,7472,3354,High
Arua,Central,743692,13,100,445,163,3310,72,3147,2535,Low
Kampala,Northern,139837,36,25,312,602,38435,57,4860,2541,High
Masaka,Western,398621,31,153,454,131,41401,99,104,6777,High
Mbarara,Eastern,631309,38,53,549,475,837,56,3875,6583,Low
Wakiso,Central,527421,75,115,379,544,19386,96,8424,3587,Medium
Kampala,Eastern,388541,21,158,477,291,47192,86,1402,4264,High
Arua,Northern,519736,5,30,108,949,15982,45,6613,7815,Medium
Kampala,Central,674486,31,92,464,641,38913,67,9992,1604,High
Wakiso,Western,877885,80,179,151,198,27317,54,8442,6612,Medium
Kampala,Central,853086,16,31,597,119,18000,62,2769,5709,Medium
Wakiso,Western,539702,13,101,126,244,27036,78,9198,3430,Medium
Mbarara,Western,220394,78,189,459,793,24972,43,2535,4038,Medium
Mbarara,Northern,316463,48,23,108,956,9699,95,6047,399,Low
Gulu,Northern,407606,44,79,152,840,28925,77,4126,2223,Medium
Mbarara,Eastern,296668,23,114,269,240,28485,51,6242,3241,Medium
Mbarara,Western,604816,72,192,258,117,39503,56,4928,4157,High
Gulu,Central,175491,10,40,231,618,9388,76,8289,4913,Low
Gulu,Central,435059,52,181,96,999,5731,57,2266,7572,Low
Masaka,Northern,356768,67,143,589,940,32371,74,5092,7607,High
Lira,Northern,258974,64,158,142,364,49181,69,7620,6858,High
Arua,Western,617260,35,130,35,84,27695,71,3994,3435,Medium
Mbale,Northern,194082,7,68,465,710,11063,84,7024,2278,Low
Kampala,Western,699667,24,97,194,468,18525,84,7936,751,Medium
Jinja,Northern,501104,63,49,537,123,42130,73,2845,3060,High
Lira,Western,163193,47,95,537,243,6019,40,8316,3278,Low
Mbale,Northern,681629,68,26,105,165,1125,59,8790,3570,Low
Gulu,Western,342261,20,54,168,242,44697,50,7462,2209,High
Kabale,Central,399412,18,93,99,109,46623,82,2405,7487,High
Lira,Western,242366,66,138,353,113,4083,43,7477,7961,Low
Arua,Eastern,852851,24,168,213,997,7796,87,8214,6811,Low
Gulu,Northern,327511,79,134,359,970,11728,40,8778,1108,Low
Masaka,Eastern,580949,40,199,430,806,43363,80,2162,5258,High
Gulu,Central,699069,8,185,38,948,20948,79,669,6312,Medium
Wakiso,Central,75151,16,188,584,887,25830,42,3550,3815,Medium
Mbarara,Western,842184,38,38,104,226,42701,53,7352,6306,High
Lira,Western,176568,57,96,217,621,27722,67,2391,3586,Medium
Kabale,Central,633220,58,34,407,481,3017,97,3735,4933,Low
Arua,Eastern,62867,33,137,175,600,49338,72,320,5127,High
Kabale,Northern,810900,31,198,473,218,19259,70,6511,4317,Medium
Kabale,Western,304284,25,103,578,962,9878,59,3051,5635,Low
Jinja,Central,782206,12,167,585,828,13101,88,8594,2893,Medium
Arua,Western,94109,51,82,82,265,47232,93,3081,4125,High
Mbale,Northern,781912,48,200,364,148,49558,77,4602,2118,High
Mbale,Central,293013,37,89,585,705,2383,55,9348,5390,Low
Arua,Central,590175,61,102,225,48,44002,40,5820,1712,High
Wakiso,Eastern,112459,35,77,69,196,9316,87,9256,2391,Low
Gulu,Western,342749,50,174,187,679,32943,78,6056,1345,High
Masaka,Northern,316108,16,63,282,778,3084,60,9270,2497,Low
Masaka,Central,809132,48,83,495,50,27586,97,6536,6832,Medium
Mbale,Northern,565933,17,169,52,71,46263,75,3115,2922,High
Kabale,Central,79206,32,109,525,34,13199,81,1240,1257,Medium
Kabale,Northern,619478,62,19,587,183,13064,63,7978,6703,High
Gulu,Western,125265,48,196,202,282,1893,86,2342,2521,Low
Mbale,Central,196944,27,59,114,259,33044,87,180,6164,High
Jinja,Western,757046,47,59,470,472,20258,83,167,2016,Medium
Kabale,Eastern,891667,11,32,164,687,8201,92,2051,5768,Low
Wakiso,Western,671670,73,46,352,261,40036,45,9240,1110,High
Masaka,Eastern,645976,42,149,461,868,20625,57,4683,1773,Medium
Kabale,Central,257063,64,21,302,245,13883,81,224,4271,Medium
Kampala,Western,842210,14,20,44,59,14058,63,5756,845,Medium
Mbarara,Central,395342,9,43,337,137,47170,55,728,1662,High
Mbarara,Western,329395,11,130,353,533,30076,56,2019,5891,High
Mbale,Northern,195058,75,142,566,850,37887,86,5783,566,High
Arua,Western,364341,66,136,481,562,21189,79,9929,4707,Medium
Masaka,Northern,577100,50,122,154,471,12050,100,4093,6081,Medium
Wakiso,Eastern,632162,43,102,485,995,34663,51,3791,5641,High
Wakiso,Eastern,597675,56,42,49,512,28286,76,8730,3681,Medium
Mbarara,Western,551149,12,83,283,224,39493,62,3810,5322,High
Arua,Central,169731,26,28,20,644,11921,55,8315,316,Low
Jinja,Northern,522023,12,44,38,289,17115,50,6649,7132,Medium
Arua,Northern,73789,39,88,274,653,8509,65,5505,979,Low
Wakiso,Central,652814,22,130,206,78,24287,98,4923,2206,Medium
Mbarara,Northern,801458,39,74,160,353,35559,56,4757,5161,High
Kabale,Western,799783,33,124,154,205,34273,98,6648,7780,High
Lira,Western,222887,75,36,50,669,45572,81,9309,4404,High
Wakiso,Northern,180487,73,122,461,287,11404,64,9249,3527,Low
Lira,Central,180377,5,74,28,259,30989,59,610,3447,High
Mbale,Eastern,147382,24,5,467,944,35292,65,4314,1303,High
Kabale,Central,794980,56,67,57,377,20023,70,5385,7031,Medium
Wakiso,Eastern,309605,57,199,227,166,11402,55,2916,2296,Low
Arua,Eastern,487937,75,103,491,989,2813,92,5702,2807,Low
Masaka,Central,106762,61,128,469,688,31942,71,9897,373,High
Kampala,Western,876120,47,77,154,483,45188,74,4223,4033,High
Gulu,Northern,651571,12,136,97,519,21559,94,6908,6700,Medium
Jinja,Western,512509,63,23,505,108,10219,49,360,4531,Low
Kampala,Eastern,150074,62,5,160,968,36138,60,8986,422,High
Jinja,Eastern,882216,11,34,171,934,35248,82,4971,1870,High
Gulu,Eastern,721045,51,68,275,929,35502,53,3509,1694,High
Masaka,Northern,299658,74,41,233,265,15283,97,6940,492,Medium
Mbarara,Eastern,745156,24,66,510,292,28730,66,3679,1586,Medium
Jinja,Central,387604,16,126,24,237,44673,56,905,2729,High
Lira,Northern,844745,44,107,576,457,39331,60,8691,640,High
Jinja,Northern,240385,23,138,232,443,22185,64,1782,5243,Medium
Gulu,Northern,146126,70,128,529,714,49067,77,4563,3867,High
Jinja,Northern,333294,10,45,390,396,47010,58,4357,885,High
Mbarara,Northern,677655,37,125,259,887,3273,94,7323,2232,Low
Gulu,Northern,228903,35,13,496,298,28334,45,6980,7269,High
Arua,Northern,773843,11,103,42,232,35689,74,2382,6719,High
Mbarara,Eastern,337116,27,158,298,271,49117,100,5873,6986,High
Lira,Eastern,244768,66,144,391,793,15723,87,8502,4664,Medium
Gulu,Eastern,817025,30,191,539,243,15182,76,5959,6702,Medium
Jinja,Western,514206,53,182,519,470,33576,73,6294,2256,High
Jinja,Northern,456684,64,101,282,229,18493,85,8983,252,Medium
Arua,Central,856149,23,156,285,813,23040,54,1401,3296,Medium
Kabale,Eastern,694252,14,115,474,297,23232,59,3907,6175,Medium
Mbale,Eastern,798147,76,145,254,322,18825,82,229,7270,Medium
Lira,Northern,844039,38,79,121,168,12901,40,6432,7977,Medium
Lira,Northern,444698,23,76,57,608,33377,51,4623,5722,High
Kabale,Eastern,387730,43,31,362,35,17342,81,4916,7380,Medium
Mbarara,Central,785759,9,192,45,209,28156,77,4667,2558,Medium
Mbale,Eastern,830908,55,149,573,914,35344,83,2962,6602,High
Kabale,Western,304382,20,58,140,575,22881,53,5122,2612,Medium
Kampala,Western,830005,27,30,381,222,4793,73,265,2697,Low
Wakiso,Western,403839,35,119,519,628,24894,50,5660,2545,Medium
Kampala,Central,526746,8,158,589,120,29477,52,2624,1630,Medium
Wakiso,Northern,138236,76,194,274,749,36428,94,928,2666,High
Mbarara,Northern,257040,15,42,509,90,36636,51,9996,5595,High
Lira,Northern,795275,60,136,173,365,6502,50,8036,3325,Low
Masaka,Western,659604,5,81,383,916,5221,69,9154,1284,Low
Gulu,Western,519950,75,56,359,111,48824,93,1695,3017,High
Mbarara,Central,736993,49,157,191,554,13419,46,8305,7103,Medium
Gulu,Northern,740504,34,8,516,871,39108,51,4404,2509,High
Gulu,Central,265183,72,97,170,726,36097,98,543,6410,High
Mbarara,Northern,340368,10,30,539,483,37313,41,1138,3831,High
Gulu,Western,413856,7,69,57,35,1708,86,8384,4714,Low
Jinja,Eastern,206723,41,190,168,64,47358,97,8504,5339,High
Kampala,Western,315512,52,21,422,419,39112,44,6009,7781,High
Kampala,Northern,83809,59,186,504,621,32601,40,1298,3407,High
Mbarara,Northern,734162,72,196,498,52,20935,82,6303,7074,Medium
Mbale,Western,307896,69,139,256,685,7089,81,7700,503,Low
Masaka,Central,750340,46,35,419,633,30366,75,5117,5516,High
Kabale,Central,73372,11,5,600,383,20405,46,8670,3125,High
